ID,Category,Level,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Tags
Q0051,📖 اردو محاورے,E,"""ناک کا بال"" محاورے کا مطلب؟",بہت عزیز ہونا,بہت تکلیف دینا,خوبصورت ہونا,چھوٹی چیز,A,درست جواب ہے: بہت عزیز ہونا۔,"اردو محاورے, آسان"
Q0052,😈 ٹرک سوالات,E,سورج ایک کیا ہے؟,سیارچہ,سیارہ,چاند,ستارہ,D,درست جواب ہے: ستارہ ✓۔,"ٹرک سوالات, آسان"
Q0053,⏳ 5 سیکنڈ چیلنج,E,میر تقی میر کا اصل نام کیا تھا؟,میر تقی علی,میر محمد تقی,میر عبدالحئی,میر اسداللہ,B,درست جواب ہے: میر محمد تقی۔,"5 سیکنڈ چیلنج, آسان"
Q0054,😈 ٹرک سوالات,E,ایک سال میں کتنے مہینے 28 دن رکھتے ہیں,1,6,2,12,D,ہر مہینے میں کم از کم 28 دن ہوتے ہیں۔,"ٹرک سوالات, آسان"
Q0055,👑 صرف ذہین لوگوں کے لیے,E,انٹرنیٹ کا موجد کسے کہا جاتا ہے؟,ٹم برنرز-لی (ورلڈ وائیڈ ویب),اسٹیو جابز,بل گیٹس,مارک زکربرگ,A,درست جواب ہے: ٹم برنرز-لی (ورلڈ وائیڈ ویب)۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0056,👑 صرف ذہین لوگوں کے لیے,E,"""سحر"" کس وقت کو کہتے ہیں؟",شام,آدھی رات,رات کی آخری گھڑی اور صبح سے پہلے کا وقت,دوپہر,C,درست جواب ہے: رات کی آخری گھڑی اور صبح سے پہلے کا وقت۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0057,🎭 الفاظ کا جادو,E,سچ کا متضاد کیا ہے,حق,ایمان,جھوٹ,درست,C,سچ کا متضاد جھوٹ ہے۔,"الفاظ کا جادو, آسان"
Q0058,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جسے بانٹنے سے دونوں کو خوشی ملتی ہے؟,پیسہ صرف,کھانا صرف,کپڑے,خوشی/مسکراہٹ,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: خوشی/مسکراہٹ۔,"دلچسپ پہیلیاں, آسان"
Q0059,⏳ 5 سیکنڈ چیلنج,E,انسان کے جسم میں کتنے گردے ہوتے ہیں؟,2,3,4,1,A,عام طور پر انسان کے دو گردے ہوتے ہیں۔,"5 سیکنڈ چیلنج, آسان"
Q0060,⏳ 5 سیکنڈ چیلنج,E,موئن جو دڑو کس صوبے میں واقع ہے؟,خیبر پختونخوا,بلوچستان,سندھ,پنجاب,C,درست جواب ہے: سندھ ✓۔,"5 سیکنڈ چیلنج, آسان"
Q0061,👑 صرف ذہین لوگوں کے لیے,E,علامہ اقبال کو خطاب 'سر' کب ملا؟,1930,1935,1940,1922,D,درست جواب ہے: 1922۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0062,⏳ 5 سیکنڈ چیلنج,E,آپ کے دادا کے والد کو کیا کہتے ہیں؟,نانا,چچا,پڑدادا,دادا,C,درست جواب ہے: پڑدادا۔,"5 سیکنڈ چیلنج, آسان"
Q0063,🎭 الفاظ کا جادو,E,"""خشکی"" کا متضاد کیا ہے؟",دھیما,تری,نادار,باہر,B,"""خشکی"" کا متضاد ""تری"" ہے۔","الفاظ کا جادو, آسان"
Q0064,😈 ٹرک سوالات,E,اگر آج جمعرات ہے تو 3 دن بعد کون سا دن ہوگا؟,ہفتہ,پیر,اتوار,منگل,C,جمعرات سے 3 دن آگے شمار کرنے پر دن اتوار بنتا ہے۔,"ٹرک سوالات, آسان"
Q0065,👑 صرف ذہین لوگوں کے لیے,E,سوویت یونین کب تحلیل ہوا؟,1985,1995,1989,1991,D,درست جواب ہے: 1991۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0066,🤯 دماغ کا امتحان,E,ایک مثلث کے دو زاویے 50 اور 60 درجے ہیں۔ تیسرا زاویہ کتنا ہوگا,90,70,80,60,B,مثلث کے زاویوں کا مجموعہ 180 ہوتا ہے، اس لیے 180−110=70۔,"دماغ کا امتحان, آسان"
Q0067,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جس کے بغیر گھڑی بےمعنی ہو جائے؟,بیٹری,سوئیاں,وقت,شیشہ,C,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: وقت۔,"دلچسپ پہیلیاں, آسان"
Q0068,📖 اردو محاورے,E,زیر و زبر کا مطلب کیا ہے؟,الٹ پلٹ,صاف ستھرا,خوشحال,خاموش,A,مکمل تبدیلی یا الٹ پھیر,"اردو محاورے, آسان"
Q0069,🎭 الفاظ کا جادو,E,"""موت"" کا مترادف کیا ہے؟",وفات,الفت,حوصلہ,رخ,A,"""موت"" کا مترادف ""وفات"" ہے۔","الفاظ کا جادو, آسان"
Q0070,📖 اردو محاورے,E,"""کھیت رہے نہ کھلیان"" کا مطلب؟",فصل تباہ ہونا,کھیتی کرنا,زمین بیچ دینا,مکمل نقصان ہو جانا,D,درست جواب ہے: مکمل نقصان ہو جانا۔,"اردو محاورے, آسان"
Q0071,👑 صرف ذہین لوگوں کے لیے,E,قائد اعظم کی پیدائش کب ہوئی,9 نومبر 1877,25 دسمبر 1876,14 اگست 1947,23 مارچ 1940,B,قائد اعظم محمد علی جناح 25 دسمبر 1876 کو پیدا ہوئے۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0072,🎭 الفاظ کا جادو,E,"""صحرا"" کا مطلب کیا ہے؟",دیوانگی,ذکر یا بیان,ریگستان,روزی,C,"""صحرا"" کا مطلب ہے: ریگستان۔","الفاظ کا جادو, آسان"
Q0073,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,18 × 5 - 20 کا جواب کیا ہے؟,80,90,60,70,D,درست جواب ہے: 70۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0074,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو جتنا سوکھتا ہے اتنا ہی گیلا کرتا ہے؟,صابن,کپڑا,تولیہ,بارش,C,تولیہ خود خشک رہتے ہوئے چیزوں کو خشک کرتا ہے۔,"دلچسپ پہیلیاں, آسان"
Q0075,⏳ 5 سیکنڈ چیلنج,E,پانی کا کیمیائی فارمولا کیا ہے؟,H2O,CO2,NaCl,O2,A,درست جواب ہے: H2O۔,"5 سیکنڈ چیلنج, آسان"
Q0076,😈 ٹرک سوالات,E,50 کا 20 فیصد کتنا ہے؟,20,15,5,10,D,50 × 20% = 10۔,"ٹرک سوالات, آسان"
Q0077,😈 ٹرک سوالات,E,ایک ٹوکری میں 15 پھل تھے، بچوں نے 2 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 2),14,13,2,12,B,15-2=13 پھل بچے۔,"ٹرک سوالات, آسان"
Q0078,🎭 الفاظ کا جادو,E,علم کا مترادف کیا ہے؟,سستی,اندھیرا,جاہلیت,دانش,D,درست جواب ہے: دانش۔,"الفاظ کا جادو, آسان"
Q0079,📖 اردو محاورے,E,ہاتھ ملنا کا مطلب کیا ہے؟,پچھتانا,لڑائی کرنا,دوستی کرنا,مدد لینا,A,ہاتھ ملنا کا مطلب پچھتانا ہے۔,"اردو محاورے, آسان"
Q0080,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,ماہ فروری میں کتنے دن ہوتے ہیں اگر لیپ ایئر نہ ہو؟,31,28,29,30,B,عام سال میں فروری 28 دن کی ہوتی ہے، صرف لیپ ایئر میں 29 دن۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0081,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جو خود چلتی نہیں مگر سب کو چلاتی ہے,سڑک,گاڑی,وقت,ہوا,C,وقت خود نہیں چلتا مگر سب کچھ وقت کے مطابق چلتا ہے۔,"دلچسپ پہیلیاں, آسان"
Q0082,🎭 الفاظ کا جادو,E,"""پاک"" کا متضاد کیا ہے؟",اضطراب,زوال,تاریک,ناپاک,D,"""پاک"" کا متضاد ""ناپاک"" ہے۔","الفاظ کا جادو, آسان"
Q0083,🎭 الفاظ کا جادو,E,"""معاشرہ"" کا مترادف؟",سماج,خاندان,قوم,ملک,A,درست جواب ہے: سماج۔,"الفاظ کا جادو, آسان"
Q0084,🤯 دماغ کا امتحان,E,وہ کون سی چیز ہے جو جتنی زیادہ استعمال ہو اتنی ہی تیز ہو جاتی ہے؟,کرسی,دماغ,قلم,کتاب,B,دماغ جتنا زیادہ استعمال ہو اتنی ہی صلاحیت بہتر ہوتی ہے۔,"دماغ کا امتحان, آسان"
Q0085,👑 صرف ذہین لوگوں کے لیے,E,گوگل کمپنی کس نے قائم کی؟,بل گیٹس,مارک زکربرگ,اسٹیو جابز,لیری پیج اور سرگئی برن,D,درست جواب ہے: لیری پیج اور سرگئی برن۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0086,😈 ٹرک سوالات,E,وہ کون سا لفظ ہے جس میں پانی بھی ہے اور آگ بھی,آبشار,بادل,کوئی نہیں,سمندر,C,ایسا کوئی لفظ نہیں جس میں پانی اور آگ دونوں شامل ہوں۔,"ٹرک سوالات, آسان"
Q0087,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,پودے فضا سے کون سی گیس جذب کرتے ہیں؟,آکسیجن,نائٹروجن,کاربن ڈائی آکسائیڈ,ہیلیم,C,ضیائی تالیف کے دوران پودے کاربن ڈائی آکسائیڈ جذب کرتے ہیں۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0088,😈 ٹرک سوالات,E,اگر ایک درجن میں 12 چیزیں ہیں تو آدھے درجن میں کتنی ہوں گی؟,4,5,8,6,D,درست جواب ہے: C)6 ✓۔,"ٹرک سوالات, آسان"
Q0089,⏳ 5 سیکنڈ چیلنج,E,علامہ اقبال کا لقب کیا تھا؟,فیلسوف,سب,حکیم الامت,شاعر مشرق,D,درست جواب ہے: شاعر مشرق۔,"5 سیکنڈ چیلنج, آسان"
Q0090,👑 صرف ذہین لوگوں کے لیے,E,"اردو لفظ ""عقیدت"" کا متضاد کیا ہے؟",محبت,ڈر,احترام,بے حرمتی,D,درست جواب ہے: بے حرمتی ________________۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0091,🤯 دماغ کا امتحان,E,19، 48، 77 کا اوسط (average) کیا ہوگا؟,48,50,47,49,A,اوسط = تمام اعداد کا مجموعہ ÷ تعداد = 144/3 = 48۔,"دماغ کا امتحان, آسان"
Q0092,🎭 الفاظ کا جادو,E,سچ کا مترادف کیا ہے؟,فریب,جھوٹ,حقیقت,دھوکا,C,حقیقت سچ کا مترادف ہے۔,"الفاظ کا جادو, آسان"
Q0093,⏳ 5 سیکنڈ چیلنج,E,پاکستان کا قومی دریا کون سا ہے؟,دریائے سندھ,دریائے چناب,دریائے جہلم,دریائے راوی,A,درست جواب ہے: دریائے سندھ۔,"5 سیکنڈ چیلنج, آسان"
Q0094,📖 اردو محاورے,E,چہرہ اتر جانا کا مطلب کیا ہے؟,زور سے ہنسنا,خوش ہونا,اداس یا شرمندہ ہونا,غصہ کرنا,C,غم یا شرمندگی کی وجہ سے چہرے کا مرجھا جانا۔,"اردو محاورے, آسان"
Q0095,🎭 الفاظ کا جادو,E,عروج کا متضاد کیا ہے؟,زوال,کامیابی,ترقی,بلندی,A,درست جواب ہے: B)زوال ✓۔,"الفاظ کا جادو, آسان"
Q0096,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو دن میں سوتا ہے اور رات کو جاگتا ہے؟,چاند,سورج,الو,تارہ,A,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: چاند۔,"دلچسپ پہیلیاں, آسان"
Q0097,🎭 الفاظ کا جادو,E,"""صاف"" کا متضاد کیا ہے؟",شام,میلا,نیچے,موٹا,B,"""صاف"" کا متضاد ""میلا"" ہے۔","الفاظ کا جادو, آسان"
Q0098,⏳ 5 سیکنڈ چیلنج,E,مایوس ہونا,بہادر ہونا,A,کامیاب ہونا,خوش ہونا,B,درست جواب ہے: A۔,"5 سیکنڈ چیلنج, آسان"
Q0099,📖 اردو محاورے,E,"""ماہتاب"" کا مطلب کیا ہے؟",خزاں,سحر,چاندنی,بہار,C,درست جواب ہے: چاندنی۔,"اردو محاورے, آسان"
Q0100,😈 ٹرک سوالات,E,ایک ٹوکری میں 12 پھل تھے، بچوں نے 4 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 27),7,4,8,9,C,12-4=8 پھل بچے۔,"ٹرک سوالات, آسان"
Q0101,😈 ٹرک سوالات,E,ایک درجن میں کتنے انڈے ہوتے ہیں,10,11,13,12,D,ایک درجن میں 12 اشیاء ہوتی ہیں۔,"ٹرک سوالات, آسان"
Q0102,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو جتنا بانٹو اتنا کم ہوتا جاتا ہے؟,کھانا,پیسہ,علم,وقت,D,درست جواب ہے: وقت۔,"دلچسپ پہیلیاں, آسان"
Q0103,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جس کے ہاتھ ہیں مگر تالیاں نہیں بجا سکتی,کرسی,دروازہ,کتاب,گھڑی,D,گھڑی کی سوئیاں ہاتھ کہلاتی ہیں مگر تالیاں نہیں بجا سکتیں۔,"دلچسپ پہیلیاں, آسان"
Q0104,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو ہمیشہ آتا ہے مگر کبھی نہیں پہنچتا؟,کل,بارش,سورج,ہوا,A,کل ہمیشہ آنے والا ہوتا ہے مگر کبھی موجود نہیں ہوتا۔,"دلچسپ پہیلیاں, آسان"
Q0105,🎭 الفاظ کا جادو,E,"""عمر"" کا مترادف کیا ہے؟",سن,بحر,معلم,والدہ,A,"""عمر"" کا مترادف ""سن"" ہے۔","الفاظ کا جادو, آسان"
Q0106,👑 صرف ذہین لوگوں کے لیے,E,یورپی یونین کا صدر دفتر کہاں ہے؟,برسلز (بیلجیم),پیرس,برلن,لندن,A,درست جواب ہے: برسلز (بیلجیم)۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0107,👑 صرف ذہین لوگوں کے لیے,E,پاکستان کی کرنسی کا نام کیا ہے؟,پاکستانی افغانی,پاکستانی دینار,پاکستانی روپیہ,پاکستانی ڈالر,C,درست جواب ہے: پاکستانی روپیہ۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0108,👑 صرف ذہین لوگوں کے لیے,E,مرثیہ کس موضوع پر لکھا جاتا ہے؟,جنگ کی جیت,بہار کی آمد,شہادت یا موت پر غم کا اظہار,شادی,C,درست جواب ہے: شہادت یا موت پر غم کا اظہار۔,"صرف ذہین لوگوں کے لیے, آسان"
